지역,독거노인비율,,
 부산광역시 ,28.4 ,,
 중구(계) ,34.1 ,,
 중앙동 ,35.4 ,,
 동광동 ,40.4 ,,
 대청동 ,32.4 ,,
 보수동 ,35.1 ,,
 부평동 ,32.4 ,,
 광복동 ,37.2 ,,
 남포동 ,38.3 ,,
 영주1동 ,37.1 ,,
 영주2동 ,29.5 ,,
 서구(계) ,31.8 ,,
 동대신1동 ,34.1 ,,
 동대신2동 ,29.0 ,,
 동대신3동 ,36.0 ,,
 서대신1동 ,26.9 ,,
 서대신3동 ,22.8 ,,
 서대신4동 ,21.9 ,,
 부민동 ,31.8 ,,
 아미동 ,36.6 ,,
 초장동 ,40.5 ,,
 충무동 ,35.4 ,,
 남부민1동 ,36.3 ,,
 남부민2동 ,33.5 ,,
 암남동 ,28.9 ,,
 동구(계) ,34.7 ,,
 초량1동 ,36.0 ,,
 초량2동 ,35.9 ,,
 초량3동 ,32.3 ,,
 초량6동 ,34.3 ,,
 수정1동 ,26.6 ,,
 수정2동 ,43.9 ,,
 수정4동 ,41.3 ,,
 수정5동 ,34.2 ,,
 좌천동 ,29.6 ,,
 범일1동 ,33.4 ,,
 범일2동 ,32.4 ,,
 범일5동 ,35.5 ,,
 영도구(계) ,29.5 ,,
 남항동  ,23.4 ,,
 영선1동  ,23.1 ,,
 영선2동  ,31.1 ,,
 신선동  ,32.2 ,,
 봉래1동 ,28.7 ,,
 봉래2동  ,29.1 ,,
 청학1동  ,29.2 ,,
 청학2동  ,25.0 ,,
 동삼1동  ,28.5 ,,
 동삼2동  ,27.4 ,,
 동삼3동  ,43.4 ,,
 부산진구(계) ,26.8 ,,
 부전1동 ,41.8 ,,
 부전2동 ,27.6 ,,
 연지동 ,22.1 ,,
 초읍동 ,24.2 ,,
 양정1동 ,24.3 ,,
 양정2동 ,29.0 ,,
 전포1동 ,28.9 ,,
 전포2동 ,27.7 ,,
 부암1동 ,24.9 ,,
 부암3동 ,21.9 ,,
 당감1동 ,26.6 ,,
 당감2동 ,23.9 ,,
 당감4동 ,26.8 ,,
 가야1동 ,29.4 ,,
 가야2동 ,20.3 ,,
 개금1동 ,25.7 ,,
 개금2동 ,25.6 ,,
 개금3동 ,26.7 ,,
 범천1동 ,35.2 ,,
 범천2동 ,29.7 ,,
 동래구(계) ,25.1 ,,
 수민동 ,21.7 ,,
 복산동 ,44.4 ,,
 명륜동 ,19.6 ,,
 온천제1동 ,43.7 ,,
 온천제2동 ,19.8 ,,
 온천제3동 ,23.3 ,,
 사직제1동 ,25.4 ,,
 사직제2동 ,15.5 ,,
 사직제3동 ,26.3 ,,
 안락제1동 ,24.4 ,,
 안락제2동 ,22.4 ,,
 명장제1동 ,22.9 ,,
 명장제2동 ,23.7 ,,
 남구(계) ,23.8 ,,
 대연1동 ,21.7 ,,
 대연3동 ,19.6 ,,
 대연4동 ,23.9 ,,
 대연5동 ,21.1 ,,
 대연6동 ,22.8 ,,
 용호1동 ,21.8 ,,
 용호2동 ,19.1 ,,
 용호3동 ,26.4 ,,
 용호4동 ,24.8 ,,
 용당동 ,22.3 ,,
 감만1동 ,29.6 ,,
 감만2동 ,26.3 ,,
 우암동 ,25.1 ,,
 문현1동 ,23.3 ,,
 문현2동 ,37.4 ,,
 문현3동 ,20.5 ,,
 문현4동 ,27.0 ,,
 북구(계) ,28.0 ,,
 구포1동 ,33.0 ,,
 구포2동 ,28.8 ,,
 구포3동 ,26.8 ,,
 금곡동 ,41.4 ,,
 화명1동 ,13.2 ,,
 화명2동 ,23.9 ,,
 화명3동 ,14.9 ,,
 덕천1동 ,36.3 ,,
 덕천2동 ,34.4 ,,
 덕천3동 ,39.0 ,,
 만덕1동 ,23.7 ,,
 만덕2동 ,21.4 ,,
 만덕3동 ,17.1 ,,
 해운대구(계) ,30.2 ,,
 우1동 ,28.7 ,,
 우2동 ,19.0 ,,
 우3동 ,15.3 ,,
 중1동 ,27.3 ,,
 중2동 ,29.6 ,,
 좌1동 ,22.3 ,,
 좌2동 ,20.6 ,,
 좌3동 ,22.5 ,,
 좌4동 ,19.7 ,,
 송정동 ,34.1 ,,
 반여1동 ,22.0 ,,
 반여2동 ,44.2 ,,
 반여3동 ,42.7 ,,
 반여4동 ,19.4 ,,
 반송1동 ,46.8 ,,
 반송2동 ,58.6 ,,
 재송1동 ,21.0 ,,
 재송2동 ,31.8 ,,
 사하구(계) ,28.3 ,,
 괴정1동 ,22.4 ,,
 괴정2동 ,25.4 ,,
 괴정3동 ,31.9 ,,
 괴정4동 ,26.8 ,,
 당리동 ,21.1 ,,
 하단1동 ,23.3 ,,
 하단2동 ,31.5 ,,
 신평1동 ,30.3 ,,
 신평2동 ,27.7 ,,
 장림1동 ,29.1 ,,
 장림2동 ,30.1 ,,
 다대1동 ,31.7 ,,
 다대2동 ,37.4 ,,
 구평동 ,20.2 ,,
 감천1동 ,25.2 ,,
 감천2동 ,33.6 ,,
 금정구(계) ,28.7 ,,
 서1동 ,53.1 ,,
 서2동  ,32.9 ,,
 서3동 ,30.2 ,,
 금사회동동 ,27.7 ,,
 부곡1동 ,35.2 ,,
 부곡2동 ,23.5 ,,
 부곡3동 ,23.4 ,,
 부곡4동 ,40.6 ,,
 장전1동 ,22.5 ,,
 장전2동 ,29.9 ,,
 선두구동 ,32.9 ,,
 청룡노포동 ,23.3 ,,
 남산동 ,27.6 ,,
 구서1동 ,28.9 ,,
 구서2동 ,19.4 ,,
 금성동 ,32.8 ,,
 강서구(계) ,30.4 ,,
 대저1동 ,53.3 ,,
 대저2동 ,31.9 ,,
 강동동 ,40.6 ,,
 명지1동 ,18.2 ,,
 명지2동 ,17.5 ,,
 가락동 ,37.1 ,,
 녹산동 ,27.2 ,,
 가덕도동 ,32.6 ,,
 연제구(계) ,25.4 ,,
 거제1동 ,26.2 ,,
 거제2동 ,18.8 ,,
 거제3동 ,25.0 ,,
 거제4동 ,19.9 ,,
 연산1동 ,25.1 ,,
 연산2동 ,26.8 ,,
 연산3동 ,32.2 ,,
 연산4동 ,26.5 ,,
 연산5동 ,29.7 ,,
 연산6동 ,29.2 ,,
 연산8동 ,25.7 ,,
 연산9동 ,21.0 ,,
 수영구(계) ,29.1 ,,
 남천1동 ,21.3 ,,
 남천2동 ,19.9 ,,
 수영동 ,38.0 ,,
 망미1동 ,34.5 ,,
 망미2동 ,36.2 ,,
 광안1동 ,22.9 ,,
 광안2동 ,30.6 ,,
 광안3동 ,42.1 ,,
 광안4동 ,22.1 ,,
 민락동 ,22.2 ,,
 사상구(계) ,29.2 ,,
 삼락동 ,33.3 ,,
 모라1동 ,22.7 ,,
 모라3동 ,53.6 ,,
 덕포1동 ,31.0 ,,
 덕포2동 ,23.5 ,,
 괘법동 ,37.4 ,,
 감전동 ,30.1 ,,
 주례1동 ,26.2 ,,
 주례2동 ,23.7 ,,
 주례3동 ,28.4 ,,
 학장동 ,24.2 ,,
 엄궁동 ,21.2 ,,
 기장군(계) ,31.7 ,,
 기장읍 ,32.6 ,,
 장안읍 ,32.3 ,,
 정관읍 ,31.4 ,,
 일광면 ,29.7 ,,
 철마면 ,30.7 ,,
,,,
,,,
,,,
,,,
,,,
,,,
